,block_mined,gas,gas_price,hashpower_accepting,round_gp_10gwei,time_mined,tx_cost
"b'\x0eC>1\n8\xf9\n4\xa1\xd9&e$)\xde\xc4\x18Z\xc9,Ym\xc1q\x9bhx\x03\x88\x8b&'",8934629.0,60000.0,9000000000.0,64.00000000000001,90.0,1573766190.0,5400000.0
"b'\x0e\xd2\xday\xd1\x86?\x19\xf3\xbc\xd7D\x1d\xc9W\xad\xa2\xed6\x99""\xb6\xea\xc6\x9e\xe7E\xca\xc0?\xa8i'",8934630.0,90000.0,1500000000.0,36.0,10.0,1573766197.0,900000.0
b'\x0e\xdd!\xac\xcc\t2=\xbb\xd8U\x98\x9a\x83LiM\x9d\xc4h\x8aX\x01?\xb0\xff\xe54\xd5\x1f\xd1\x89',8934631.0,21000.0,30000000000.0,100.0,300.0,1573766237.0,6300000.0
"b""\x0f\xe5~\xd3\x1c\x9d\xec\x82\t\x0f\xb9\r(`GF\xa5E}\x99\x80'\xd3\xd12\n\xec\x1e.\xd3\xa7\xc3""",8934631.0,60000.0,20000000000.0,100.0,200.0,1573766237.0,12000000.0
b'\x10)\x95\x8deO\xf9\xff\x11\x8b\xb1\t\xa1\x0e}\x8a\xd9Q\xf3Xn9\x91\xd4\xd2\x84\x17\x15\xeat&s',8934631.0,800000.0,4000000000.0,48.99999999999999,40.0,1573766237.0,32000000.0
b'\x10jQ\xa4`\xe3:\xa9i\xa6\xfa\xae\xe5p<\x911\xe7\xeb\xbc\xc2\xd7H\xbd/\x946\xec\xd9\x06\xa9N',8934634.0,50000.0,1000000000.0,36.0,10.0,1573766286.0,
"b'\x11\x8fV\xdd\xc9\x9a.E[\xf5V\xd0\xa7\x825\xde9\xb6y\x00r\xa4\xf2\x1a\xdf$-\xd7Pv\xf7,'",8934630.0,56281.0,1000000000.0,36.0,10.0,1573766197.0,562810.0
b'\x11\x9c\xedv\xdbz\x1cX:\xc0&\xe8\xbf\xf3~!.Q\xb45\xae\x9eb\xefR\xf5\x1a|\x07\xfcG4',8934629.0,100000.0,2250000000.0,36.0,20.0,1573766190.0,2000000.0
b'\x11\xab\x7f\xb0\xf5\x943\xc5y\x9f9\xb2WB#X\xd6\xa0 \xb9o*\x91\xdf\xbf\x85\xdd\x029\xb4\x9f\x1e',8934631.0,21000.0,10000000000.0,100.0,100.0,1573766237.0,2100000.0
"b'\x12\xc2\xacU\x87vVs\xcc>\xc0ylb\x86\xdbi\rL\xdb\xa1`,\xbe\x10\x9c}\xb1c}MF'",8934631.0,30000.0,10500000000.0,100.0,100.0,1573766237.0,3000000.0
"b'\x13\xadb\x90\xb2\\\x1e[\x95\xca-\xc2@5\xd8\xfa\x9dh,\x92\x94\xba=\xea\x95\xd1S\xa6f\xb2""\xc9'",8934633.0,250000.0,1500000000.0,36.0,10.0,1573766280.0,2500000.0
b'\x14r:\xa6\x9a\xa6LG0#2\x02\xfb\xfb`\xf8\x81A\x0f_\xd9\x9c}`\x1b\x82\xec\x9f=\xd83G',8934633.0,90000.0,40000000000.0,100.0,400.0,1573766280.0,36000000.0
